Book1,Book2,baseline,nlp_only,equal,vocabulary_focused,structure_focused
2CO,1JN,-0.2098998227602581,0.4338850962293032,-0.3122559534241903,-0.019387275275258874,-0.7031976222776563
2CO,3JN,-0.39379037881599244,0.01320271737396922,-0.3319167494618829,-0.5889794393055872,-0.17890996155595126
2CO,2PE,-0.07397365985314668,-0.13562155257832564,-0.001042595187976552,-0.249192031660683,0.23936654122703613
PHM,PHP,0.21760450121632618,0.10665059891295842,0.2977666040442067,0.07943865021843675,0.6120386658957936
PHM,TIT,0.1118859412810124,0.39130974471163116,-0.03276911251633516,0.4454845156544835,-0.5255102867580694
PHM,COL,0.34305257250542215,0.1987553718275011,0.4103181677829142,0.2522273579994693,0.7008010213377661
PHM,1TH,0.15171700464075594,0.24476392736226676,0.2687899644748198,-0.07902675658992214,0.7049999930729971
PHM,2TH,0.5221256944550268,0.17734086954508743,0.5139684157021983,0.6283331601394737,0.5687073490723855
PHM,1TI,-0.0564918542695398,0.3360257936537892,-0.14311297521686261,0.12355894347737166,-0.45731537373660947
PHM,2TI,-0.013584045568849151,0.19203817218535243,-0.08394213544126439,0.1411462806226333,-0.33549095517794986
PHM,EPH,-0.022114666064091015,0.03478792789176979,0.12928035141708805,-0.35657184258045094,0.6575138268790311
PHM,MRK,-0.6591626836265199,-0.04205125956223127,-0.6467031945526805,-0.7930458399538218,-0.7097737898258505
PHM,ACT,-0.6295833140577382,-0.06385367626867233,-0.6448855260825617,-0.6982814390805859,-0.7993396277436633
PHM,1PE,0.12996804359632835,0.3480444036386753,0.08029210243289497,0.2631400980160502,-0.07294523189120058
PHM,JHN,-0.6481330258469145,-0.0560462679462187,-0.65869240629302,-0.7313069741042644,-0.8001294120224606
PHM,LUK,-0.6790344956290276,-0.09946482883055513,-0.6869031566194835,-0.7725923539000501,-0.8246210286064488
PHM,HEB,-0.09691905877151205,-0.023388770192748487,0.007248593200047837,-0.34089660195302535,0.3587338380932088
PHM,REV,-0.4560715604932818,0.072898119840381,-0.4295784161608106,-0.5867142314794136,-0.40929078223737114
PHM,MAT,-0.6553460723012574,0.023172238798325778,-0.6745063982520839,-0.720395334476212,-0.8470562341432263
PHM,JUD,0.17364664891425569,0.36470923270426536,0.03394777945844335,0.5084963057501757,-0.43094586743310187
PHM,JAS,-0.1478315806951769,0.3402148666857433,-0.25843183207278064,0.06958105877522726,-0.6690064334259983
PHM,2JN,0.47304076312965826,0.5444837931365689,0.38421173729769137,0.7376794052344033,0.14889265093053775
PHM,1JN,-0.5085029393309093,0.07986543598601828,-0.5201100066811755,-0.5681735066758558,-0.6412464735504814
PHM,3JN,0.4020763041322767,0.5323766210043752,0.28349038479771704,0.7236574663347277,-0.06775448839904669
PHM,2PE,0.5016566537981146,0.47360861161440126,0.5072329296016711,0.5721865436206092,0.610098717313669
PHP,TIT,0.15662035678128286,0.32611826099400587,0.06016338094737238,0.39013953149475555,-0.2523385494197207
PHP,COL,0.6247378207669708,0.4701365168937972,0.5945388297361709,0.7938747818743033,0.5889836075788049
PHP,1TH,0.4734962098133451,0.19052003579452956,0.4643954997964248,0.5743671047705471,0.5113724589791324
PHP,2TH,0.2416094927564021,0.35981540602451023,0.22382321849460807,0.3264115467074773,0.2011863692023123
PHP,1TI,0.3985726515578429,0.36709952302157856,0.30745821727370837,0.6589020109176458,0.05064156032014888
PHP,2TI,0.4831388944857804,0.43719261369790896,0.3978739820533212,0.7486907067129223,0.17644317426354525
PHP,EPH,0.5733552845535459,0.5770755622507289,0.5643359333647672,0.6884153775470114,0.6273427070576921
PHP,MRK,-0.41948307112137084,0.05962456560742488,-0.4695454892400401,-0.3780645540562777,-0.7113332220209905
PHP,ACT,-0.3820753417829162,0.09971223609169728,-0.40746156438117487,-0.3893061328078329,-0.5601176946569956
PHP,1PE,0.34537443286308167,0.08211618672779182,0.3424745128043432,0.4082574037952406,0.38290414925522065
PHP,JHN,-0.4359687725151213,0.2698913114873479,-0.44681440448550325,-0.4868415480634253,-0.5539502321563782
PHP,LUK,-0.5176689699977064,0.07290377358778186,-0.5603307842338142,-0.5090725960276146,-0.7924266438518358
PHP,HEB,0.2265328296019752,-0.028402629515526995,0.31707307634061344,0.06384082316608566,0.6656263633887444
PHP,REV,-0.03468278105366954,0.09241733132342117,-0.00571789943822984,-0.10518002721434458,0.09632194309791112
PHP,MAT,-0.5048899100185452,-0.03919390891376681,-0.5085782840809091,-0.5821024165736073,-0.6029402353019377
PHP,JUD,-0.002741519510007631,0.25173479268031446,-0.06881589668502563,0.14234231163992228,-0.30180808137342785
PHP,JAS,0.05433450518941127,0.05042310347534221,-0.05547427185945736,0.29977522586897976,-0.4372832488468944
PHP,2JN,-0.12906177166955096,0.13839189109227223,-0.08986737610732316,-0.24066188216746717,0.02463779604299828
PHP,1JN,-0.18379760995104044,0.359819108155278,-0.1813284264555483,-0.2253225456625293,-0.19814891672244342
PHP,3JN,-0.20450889666663585,0.17220344148080677,-0.19101702260528516,-0.27275485236963043,-0.1793065778167248
PHP,2PE,0.2639680272158287,0.013536606043047295,0.28348281955228966,0.26859280452063417,0.3908484129266227
TIT,COL,0.09047905653186111,0.45841310096949145,-0.05997887717874546,0.43269870895615536,-0.5724942561388322
TIT,1TH,-0.17930101258988718,0.19809531972938327,-0.2744877512333186,-0.0005957471540613858,-0.635859314410569
TIT,2TH,0.07137032403481419,0.3135576879700125,-0.08392019203836937,0.4218134037334005,-0.61980820440458
TIT,1TI,0.6232731474029954,0.5633364185714451,0.6301326119792846,0.7105856148008332,0.7575167902587252
TIT,2TI,0.6213763234716012,0.49253997496252644,0.6187961505501307,0.7266037158313856,0.711813370470956
TIT,EPH,-0.2139086785159101,0.22307653713524572,-0.2766476789239618,-0.11281876341901267,-0.5284185526863692
TIT,MRK,-0.23657047272908638,-0.015436630682469893,-0.11916150054543179,-0.533724102603512,0.25720757798551824
TIT,ACT,-0.14774792464632128,-0.1116163594857692,0.030634592962432566,-0.5612713647672438,0.6337003688497266
TIT,1PE,0.3008449421872387,0.37477371416627525,0.31655252987987703,0.313779440633927,0.41822775229396
TIT,JHN,-0.21141014587522128,-0.12318826644535158,-0.033991402818276395,-0.6350943231891822,0.5550991943167731
TIT,LUK,-0.22624834665499333,-0.05275472315007751,-0.08182857013685338,-0.5786456741782271,0.3899961053647079
TIT,HEB,-0.32152193415502733,-0.030682341633190113,-0.2590973013015543,-0.5101500198024211,-0.09394343280931101
TIT,REV,0.03869511101451484,0.14284023130459655,0.15657813571943593,-0.21364468549927962,0.5823146460918823
TIT,MAT,-0.21086698690008615,-0.12311788211334301,-0.032737462736454725,-0.6355674512602663,0.5589594637181348
TIT,JUD,0.49606951589943193,0.4392639357767032,0.47228286702965633,0.6329296446255376,0.4666648416966718
TIT,JAS,0.34157331545717484,0.34526091204535314,0.3810365856285001,0.3101572533749051,0.5750114203198375
TIT,2JN,0.334591419428565,0.32280953959121134,0.31048174807620615,0.4482707019490905,0.27689587016473954
TIT,1JN,-0.015114507056937954,0.04957201461955377,0.12322203945426069,-0.3188878727711265,0.6101991955514326
TIT,3JN,0.2103846093222318,0.3549583255420827,0.14729402888168444,0.38458538480942145,-0.04363431915657771
TIT,2PE,0.09170876280794449,0.42776987075918493,-0.016205425749027988,0.34457986298058674,-0.38133298593707854
